date,sales,quantity,product,category,store,channel,discount_pct,cost,profit
2025-09-01,120,2,Desk,Furniture,East,Store,0,35,50
2025-09-07,80,1,Monitor,Technology,West,Online,10,45,35
2025-09-08,140,2,Chair,Furniture,East,Store,0,40,60
2025-09-14,90,1,Keyboard,Technology,West,Online,5,45,45
2025-09-15,110,1,Desk,Furniture,East,Online,10,60,50
2025-09-21,150,3,Mouse,Technology,West,Store,0,30,60
2025-09-22,130,2,Chair,Furniture,South,Store,5,45,40
2025-09-28,170,2,Monitor,Technology,West,Online,15,55,60
2025-09-29,160,2,Desk,Furniture,East,Store,0,50,60
2025-10-05,180,3,Keyboard,Technology,West,Online,10,40,60
2025-10-06,190,3,Chair,Furniture,South,Store,5,45,55
2025-10-12,170,2,Monitor,Technology,West,Online,20,60,50
2025-10-13,180,2,Desk,Furniture,East,Store,0,55,70
2025-10-19,220,3,Keyboard,Technology,West,Online,15,45,85
2025-10-20,210,3,Chair,Furniture,South,Store,5,45,75
2025-10-23,190,2,Monitor,Technology,West,Online,20,60,70
2025-10-26,100,1,Desk,Furniture,East,Online,0,55,45
